"Pin# SLG46826V\
(STQFN)","Pin# SLG46826G\
(TSSOP)",Name,Function,Power rail
1,20,VDD,Power Supply,\-
2,19,IO0,GPIO,VDD
3,18,IO1,GPIO or Vref IN,VDD
4,17,IO2,"GPIO, SLA_0",VDD
5,16,IO3,"GPIO, SLA_1",VDD
6,15,IO4,"GPIO, SLA_2",VDD
7,14,IO5,"GPIO, SLA_3",VDD
8,13,SCL,I2C_SCL,VDD
9,12,SDA,I2C_SDA,VDD
10,11,IO6,GPO,VDD
11,10,GND,Ground,\-
12,9,IO7,GPO,VDD2
13,8,IO8,GPIO,VDD2
14,7,VDD2,Power Supply,\-
15,6,IO9,GPIO or Vref_OUT1,VDD2
16,5,IO10,GPIO or Vref_OUT0,VDD2
17,4,IO11,GPIO or ACMP3L_IN,VDD2
18,3,IO12,GPIO or ACMP2L_IN,VDD2
19,2,IO13,GPIO or ACMP1H_IN,VDD2
20,1,IO14,GPIO or ACMP0H_IN,VDD2
